stn,time,tre200d0,tre200j0
COM,19590101,3,-
COM,19590102,1.6,-
COM,19590103,1.8,-
COM,19590104,-0.2,-
COM,19590105,-1,-
COM,19590106,0.2,-
COM,19590107,0.1,-
COM,19590108,1,-
COM,19590109,-0.9,-
COM,19590110,-2.4,-
COM,19590111,-3.5,-
COM,19590112,-3.7,-
COM,19590113,-1.1,-
COM,19590114,0,-
COM,19590115,2.7,-
COM,19590116,1.3,-
COM,19590117,1.8,-
COM,19590118,-0.9,-
COM,19590119,0.8,-
COM,19590120,1.2,-
COM,19590121,1,-
COM,19590122,1.8,-
COM,19590123,2.5,-
COM,19590124,5.1,-
COM,19590125,2.8,-
COM,19590126,1.1,-
COM,19590127,-0.3,-
COM,19590128,0.5,-
COM,19590129,0.9,-
COM,19590130,2,-
COM,19590131,2.6,-
COM,19590201,2,-
COM,19590202,0,-
COM,19590203,0.6,-
COM,19590204,2.1,-
COM,19590205,3,-
COM,19590206,3,-
COM,19590207,3.1,-
COM,19590208,1.2,-
COM,19590209,0.4,-
COM,19590210,1.7,-
COM,19590211,1.9,-
COM,19590212,0.7,-
COM,19590213,0.7,-
COM,19590214,2.6,-
COM,19590215,5.6,-
COM,19590216,7.8,-
COM,19590217,3.7,-
COM,19590218,4,-
COM,19590219,6.1,-
COM,19590220,6.4,-
COM,19590221,10.7,-
COM,19590222,11.5,-
COM,19590223,4.2,-
COM,19590224,3.1,-
COM,19590225,4.4,-
COM,19590226,5.1,-
COM,19590227,6.9,-
COM,19590228,9.9,-
COM,19590301,7,-
COM,19590302,7.8,-
COM,19590303,9.9,-
COM,19590304,3.6,-
COM,19590305,6.3,-
COM,19590306,6.6,-
COM,19590307,5.4,-
COM,19590308,7.4,-
COM,19590309,8.2,-
COM,19590310,7.4,-
COM,19590311,5.6,-
COM,19590312,6.5,-
COM,19590313,10.4,-
COM,19590314,9.6,-
COM,19590315,5.6,-
COM,19590316,5.3,-
COM,19590317,6.1,-
COM,19590318,5.8,-
COM,19590319,6.6,-
COM,19590320,8.6,-
COM,19590321,8.9,-
COM,19590322,9.8,-
COM,19590323,10.7,-
COM,19590324,10.9,-
COM,19590325,8.6,-
COM,19590326,10.8,-
COM,19590327,9.2,-
COM,19590328,9,-
COM,19590329,10.1,-
COM,19590330,7.3,-
COM,19590331,11.6,-
COM,19590401,10.6,-
COM,19590402,9.5,-
COM,19590403,9.6,-
COM,19590404,11.6,-
COM,19590405,11.1,-
COM,19590406,10.9,-
COM,19590407,8.1,-
COM,19590408,9.4,-
COM,19590409,6.3,-
COM,19590410,4,-
COM,19590411,7,-
COM,19590412,9.7,-
COM,19590413,11.9,-
COM,19590414,12.6,-
COM,19590415,13.1,-
COM,19590416,8.6,-
COM,19590417,8.7,-
COM,19590418,14.3,-
COM,19590419,14.2,-
COM,19590420,9.2,-
COM,19590421,5.4,-
COM,19590422,6.7,-
COM,19590423,5.9,-
COM,19590424,9.3,-
COM,19590425,11.6,-
COM,19590426,10.5,-
COM,19590427,9.7,-
