stn,time,tre200d0
SLFSIM,19961001,0.4
SLFSIM,19961002,-4
SLFSIM,19961003,-2
SLFSIM,19961004,2.3
SLFSIM,19961005,-1.2
SLFSIM,19961006,-0.8
SLFSIM,19961007,1.3
SLFSIM,19961008,3.1
SLFSIM,19961009,2.7
SLFSIM,19961010,-0.5
SLFSIM,19961011,-1
SLFSIM,19961012,-1.4
SLFSIM,19961013,-2.6
SLFSIM,19961014,-1.6
SLFSIM,19961015,0.4
SLFSIM,19961016,-1.1
SLFSIM,19961017,-4.5
SLFSIM,19961018,-3.1
SLFSIM,19961019,-2.6
SLFSIM,19961020,-1.2
SLFSIM,19961021,2
SLFSIM,19961022,1.9
SLFSIM,19961023,4.8
SLFSIM,19961024,5.4
SLFSIM,19961025,4.1
SLFSIM,19961026,0.4
SLFSIM,19961027,0.4
SLFSIM,19961028,2.6
SLFSIM,19961029,-1.8
SLFSIM,19961030,-4.3
SLFSIM,19961031,1.2
SLFSIM,19961101,-0.3
SLFSIM,19961102,4.1
SLFSIM,19961103,-
SLFSIM,19961104,2
SLFSIM,19961105,-3.3
SLFSIM,19961106,-2.1
SLFSIM,19961107,-0.2
SLFSIM,19961108,-5.3
SLFSIM,19961109,-5
SLFSIM,19961110,-5.3
SLFSIM,19961111,-2.9
SLFSIM,19961112,-
SLFSIM,19961113,-
SLFSIM,19961114,-
SLFSIM,19961115,-
SLFSIM,19961116,-
SLFSIM,19961117,-
SLFSIM,19961118,-
SLFSIM,19961119,-
SLFSIM,19961120,-
SLFSIM,19961121,-
SLFSIM,19961122,-
SLFSIM,19961123,-
SLFSIM,19961124,-
SLFSIM,19961125,-
SLFSIM,19961126,-
SLFSIM,19961127,-
SLFSIM,19961128,-
SLFSIM,19961129,-
SLFSIM,19961130,-
SLFSIM,19961201,-
SLFSIM,19961202,-
SLFSIM,19961203,-
SLFSIM,19961204,-
SLFSIM,19961205,-
SLFSIM,19961206,-
SLFSIM,19961207,-
SLFSIM,19961208,-
SLFSIM,19961209,-
SLFSIM,19961210,-
SLFSIM,19961211,-
SLFSIM,19961212,-
SLFSIM,19961213,-
SLFSIM,19961214,-
SLFSIM,19961215,-
SLFSIM,19961216,-
SLFSIM,19961217,-
SLFSIM,19961218,-
SLFSIM,19961219,-
SLFSIM,19961220,-
SLFSIM,19961221,-
SLFSIM,19961222,-
SLFSIM,19961223,-
SLFSIM,19961224,-
SLFSIM,19961225,-
SLFSIM,19961226,-
SLFSIM,19961227,-
SLFSIM,19961228,-
SLFSIM,19961229,-
SLFSIM,19961230,-
SLFSIM,19961231,-
SLFSIM,19970101,-
SLFSIM,19970102,-
SLFSIM,19970103,-
SLFSIM,19970104,-
SLFSIM,19970105,-
SLFSIM,19970106,-
SLFSIM,19970107,-
SLFSIM,19970108,-
SLFSIM,19970109,-
SLFSIM,19970110,-
SLFSIM,19970111,-
SLFSIM,19970112,-
SLFSIM,19970113,-
SLFSIM,19970114,-
SLFSIM,19970115,-
SLFSIM,19970116,-
SLFSIM,19970117,-
SLFSIM,19970118,-
SLFSIM,19970119,-
SLFSIM,19970120,-
SLFSIM,19970121,-
SLFSIM,19970122,-
SLFSIM,19970123,-
SLFSIM,19970124,-
SLFSIM,19970125,-
SLFSIM,19970126,-
SLFSIM,19970127,-
SLFSIM,19970128,-
SLFSIM,19970129,-
SLFSIM,19970130,-
SLFSIM,19970131,-
SLFSIM,19970201,-
SLFSIM,19970202,-
SLFSIM,19970203,-
SLFSIM,19970204,-
SLFSIM,19970205,-
SLFSIM,19970206,-
SLFSIM,19970207,-
SLFSIM,19970208,-
SLFSIM,19970209,-
SLFSIM,19970210,-
SLFSIM,19970211,-
SLFSIM,19970212,-
SLFSIM,19970213,-
SLFSIM,19970214,-
SLFSIM,19970215,-
SLFSIM,19970216,-
SLFSIM,19970217,-
SLFSIM,19970218,-
SLFSIM,19970219,-
SLFSIM,19970220,-
SLFSIM,19970221,-
SLFSIM,19970222,-
SLFSIM,19970223,-
SLFSIM,19970224,-
SLFSIM,19970225,-
SLFSIM,19970226,-
SLFSIM,19970227,-
SLFSIM,19970228,-
SLFSIM,19970301,-
SLFSIM,19970302,-
SLFSIM,19970303,-
SLFSIM,19970304,-
SLFSIM,19970305,-
SLFSIM,19970306,-
SLFSIM,19970307,-
SLFSIM,19970308,-
SLFSIM,19970309,-
SLFSIM,19970310,-
SLFSIM,19970311,-
SLFSIM,19970312,-
SLFSIM,19970313,-
SLFSIM,19970314,-
SLFSIM,19970315,-
SLFSIM,19970316,-
SLFSIM,19970317,-
SLFSIM,19970318,-
SLFSIM,19970319,-
SLFSIM,19970320,-
SLFSIM,19970321,-
SLFSIM,19970322,-
SLFSIM,19970323,-
SLFSIM,19970324,-
SLFSIM,19970325,-
SLFSIM,19970326,-
SLFSIM,19970327,-
SLFSIM,19970328,-
SLFSIM,19970329,-
SLFSIM,19970330,-
SLFSIM,19970331,-
SLFSIM,19970401,-
SLFSIM,19970402,-
SLFSIM,19970403,-
SLFSIM,19970404,-
SLFSIM,19970405,-
SLFSIM,19970406,-
SLFSIM,19970407,-
SLFSIM,19970408,-
SLFSIM,19970409,-
SLFSIM,19970410,-
SLFSIM,19970411,-
SLFSIM,19970412,-
SLFSIM,19970413,-
SLFSIM,19970414,-
SLFSIM,19970415,-
SLFSIM,19970416,-
SLFSIM,19970417,-
SLFSIM,19970418,-
SLFSIM,19970419,-
SLFSIM,19970420,-
SLFSIM,19970421,-
SLFSIM,19970422,-
SLFSIM,19970423,-
SLFSIM,19970424,-
SLFSIM,19970425,-
SLFSIM,19970426,-
SLFSIM,19970427,-
SLFSIM,19970428,-
SLFSIM,19970429,-
SLFSIM,19970430,-
SLFSIM,19970501,-
SLFSIM,19970502,-
SLFSIM,19970503,-
SLFSIM,19970504,-
SLFSIM,19970505,-
SLFSIM,19970506,-
SLFSIM,19970507,-
SLFSIM,19970508,-
SLFSIM,19970509,-
SLFSIM,19970510,-
SLFSIM,19970511,-
SLFSIM,19970512,-
SLFSIM,19970513,-
SLFSIM,19970514,-
SLFSIM,19970515,-
SLFSIM,19970516,-
SLFSIM,19970517,-
SLFSIM,19970518,-
SLFSIM,19970519,-
SLFSIM,19970520,-
SLFSIM,19970521,-
SLFSIM,19970522,-
SLFSIM,19970523,-
SLFSIM,19970524,-
SLFSIM,19970525,-
SLFSIM,19970526,-
SLFSIM,19970527,-
SLFSIM,19970528,-
SLFSIM,19970529,-
SLFSIM,19970530,-
SLFSIM,19970531,-
SLFSIM,19970601,-
SLFSIM,19970602,-
SLFSIM,19970603,-
SLFSIM,19970604,-
SLFSIM,19970605,-
SLFSIM,19970606,-
SLFSIM,19970607,-
SLFSIM,19970608,-
SLFSIM,19970609,-
SLFSIM,19970610,-
SLFSIM,19970611,-
SLFSIM,19970612,-
SLFSIM,19970613,-
SLFSIM,19970614,-
SLFSIM,19970615,-
SLFSIM,19970616,-
SLFSIM,19970617,-
SLFSIM,19970618,-
SLFSIM,19970619,-
SLFSIM,19970620,-
SLFSIM,19970621,-
SLFSIM,19970622,-
SLFSIM,19970623,-
SLFSIM,19970624,-
SLFSIM,19970625,-
SLFSIM,19970626,-
SLFSIM,19970627,-
SLFSIM,19970628,-
SLFSIM,19970629,-
SLFSIM,19970630,-
SLFSIM,19970701,-
SLFSIM,19970702,-
SLFSIM,19970703,-
SLFSIM,19970704,-
SLFSIM,19970705,-
SLFSIM,19970706,-
SLFSIM,19970707,-
SLFSIM,19970708,-
SLFSIM,19970709,-
SLFSIM,19970710,-
SLFSIM,19970711,-
SLFSIM,19970712,-
SLFSIM,19970713,-
SLFSIM,19970714,-
SLFSIM,19970715,-
SLFSIM,19970716,-
SLFSIM,19970717,-
SLFSIM,19970718,-
SLFSIM,19970719,-
SLFSIM,19970720,-
SLFSIM,19970721,-
SLFSIM,19970722,-
SLFSIM,19970723,-
SLFSIM,19970724,-
SLFSIM,19970725,-
SLFSIM,19970726,-
SLFSIM,19970727,-
SLFSIM,19970728,-
SLFSIM,19970729,-
SLFSIM,19970730,-
SLFSIM,19970731,-
SLFSIM,19970801,-
SLFSIM,19970802,-
SLFSIM,19970803,-
SLFSIM,19970804,-
SLFSIM,19970805,-
SLFSIM,19970806,-
SLFSIM,19970807,-
SLFSIM,19970808,-
SLFSIM,19970809,-
SLFSIM,19970810,-
SLFSIM,19970811,-
SLFSIM,19970812,-
SLFSIM,19970813,-
SLFSIM,19970814,-
SLFSIM,19970815,-
SLFSIM,19970816,-
SLFSIM,19970817,-
SLFSIM,19970818,-
SLFSIM,19970819,-
SLFSIM,19970820,-
SLFSIM,19970821,-
SLFSIM,19970822,-
SLFSIM,19970823,-
SLFSIM,19970824,-
SLFSIM,19970825,-
SLFSIM,19970826,-
SLFSIM,19970827,-
SLFSIM,19970828,-
SLFSIM,19970829,-
SLFSIM,19970830,-
SLFSIM,19970831,-
SLFSIM,19970901,-
SLFSIM,19970902,-
SLFSIM,19970903,-
SLFSIM,19970904,-
SLFSIM,19970905,-
SLFSIM,19970906,-
SLFSIM,19970907,-
SLFSIM,19970908,-
SLFSIM,19970909,-
SLFSIM,19970910,-
SLFSIM,19970911,-
SLFSIM,19970912,-
SLFSIM,19970913,-
SLFSIM,19970914,-
SLFSIM,19970915,-
SLFSIM,19970916,-
SLFSIM,19970917,-
SLFSIM,19970918,-
SLFSIM,19970919,-
SLFSIM,19970920,-
SLFSIM,19970921,-
SLFSIM,19970922,-
SLFSIM,19970923,-
SLFSIM,19970924,-
SLFSIM,19970925,-
SLFSIM,19970926,-
SLFSIM,19970927,-
SLFSIM,19970928,-
SLFSIM,19970929,-
SLFSIM,19970930,-
SLFSIM,19971001,-
SLFSIM,19971002,5.2
SLFSIM,19971003,3.3
SLFSIM,19971004,6
SLFSIM,19971005,7.4
SLFSIM,19971006,3.1
SLFSIM,19971007,3.3
SLFSIM,19971008,3.6
SLFSIM,19971009,7.2
SLFSIM,19971010,5
SLFSIM,19971011,1.7
SLFSIM,19971012,-2.5
SLFSIM,19971013,-6.4
SLFSIM,19971014,-8.8
SLFSIM,19971015,-6.7
SLFSIM,19971016,-2
SLFSIM,19971017,1.3
SLFSIM,19971018,5.2
SLFSIM,19971019,6
SLFSIM,19971020,5.7
SLFSIM,19971021,1.4
SLFSIM,19971022,0.3
SLFSIM,19971023,1.7
SLFSIM,19971024,-1.6
SLFSIM,19971025,-2.3
SLFSIM,19971026,-1.3
SLFSIM,19971027,-3.7
SLFSIM,19971028,-9.4
SLFSIM,19971029,-7.1
SLFSIM,19971030,-4.3
SLFSIM,19971031,-4.1
SLFSIM,19971101,-0.9
