year,month,day,date,elevation,weight,sex,age
1992,9,7,07/09/92,1800,17,m,1.5
1992,9,7,07/09/92,1700,20,m,1.5
1992,9,7,07/09/92,1200,19,m,1.5
1992,9,7,07/09/92,1800,18,m,1.5
1992,9,7,07/09/92,900,12,m,1.5
1992,9,7,07/09/92,950,12,f,1.5
1992,9,7,07/09/92,1500,16,m,1.5
1992,9,7,07/09/92,1500,13,m,1.5
1992,9,7,07/09/92,1450,16,m,1.5
1992,9,7,07/09/92,1650,13,m,1.5
1992,9,7,07/09/92,800,16,m,1.5
1992,9,7,07/09/92,1450,16,m,1.5
1992,9,7,07/09/92,1570,20,m,1.5
1992,9,7,07/09/92,1700,18,m,1.5
1992,9,7,07/09/92,1530,18.5,m,1.5
1992,9,7,07/09/92,1750,NA,f,1.5
1992,9,7,07/09/92,1600,17,f,1.5
1992,9,7,07/09/92,1600,18,m,1.5
1992,9,7,07/09/92,2050,18,m,1.5
1992,9,7,07/09/92,1600,15,f,1.5
1992,9,7,07/09/92,950,NA,m,1.5
1992,9,7,07/09/92,1100,15,m,1.5
1992,9,7,07/09/92,1800,17,f,1.5
1992,9,7,07/09/92,800,NA,f,1.5
1992,9,7,07/09/92,1600,18,m,1.5
1992,9,7,07/09/92,1800,18,m,1.5
1992,9,7,07/09/92,1900,17,m,1.5
1992,9,7,07/09/92,1600,15,m,1.5
1992,9,7,07/09/92,1230,18,f,1.5
1992,9,7,07/09/92,1900,15.7,m,1.5
1992,9,7,07/09/92,1500,13,f,1.5
1992,9,7,07/09/92,2100,17,m,1.5
1992,9,7,07/09/92,1400,13.5,f,1.5
1992,9,7,07/09/92,1550,16,f,1.5
1992,9,7,07/09/92,600,13,f,1.5
1992,9,7,07/09/92,1900,18,m,1.5
1992,9,7,07/09/92,1700,16,m,1.5
1992,9,7,07/09/92,1700,22,m,1.5
1992,9,7,07/09/92,1800,14,m,1.5
1992,9,7,07/09/92,NA,NA,m,1.5
1992,9,7,07/09/92,1700,21,f,1.5
1992,9,7,07/09/92,1850,NA,f,1.5
1992,9,7,07/09/92,2000,18,m,1.5
1992,9,7,07/09/92,1700,16,m,1.5
1992,9,8,08/09/92,1300,16.8,f,1.5
1992,9,8,08/09/92,2050,15.9,f,1.5
1992,9,8,08/09/92,1370,17.2,f,1.5
1992,9,8,08/09/92,1570,23,m,1.5
1992,9,8,08/09/92,1360,17.9,m,1.5
1992,9,8,08/09/92,1600,14.5,m,1.5
1992,9,8,08/09/92,1530,16,m,1.5
1992,9,8,08/09/92,1500,20.5,m,1.5
1992,9,8,08/09/92,NA,20.5,f,1.5
1992,9,8,08/09/92,650,17,f,1.5
1992,9,8,08/09/92,1750,15,m,1.5
1992,9,8,08/09/92,2050,12.7,m,1.5
1992,9,8,08/09/92,1200,16,m,1.5
1992,9,8,08/09/92,1900,17.2,m,1.5
1992,9,8,08/09/92,NA,15.5,m,1.5
1992,9,8,08/09/92,1450,14,m,1.5
1992,9,8,08/09/92,1200,17,m,1.5
1992,9,8,08/09/92,2000,14,f,1.5
1992,9,8,08/09/92,2000,12,m,1.5
1992,9,8,08/09/92,NA,11,m,1.5
1992,9,8,08/09/92,1800,17,f,1.5
1992,9,8,08/09/92,1900,13,f,1.5
1992,9,8,08/09/92,NA,16,f,1.5
1992,9,9,09/09/92,1000,16,f,1.5
1992,9,9,09/09/92,1800,14,m,1.5
1992,9,9,09/09/92,1450,20,m,1.5
1992,9,9,09/09/92,2400,18,m,1.5
1992,9,9,09/09/92,2400,20,m,1.5
1992,9,9,09/09/92,NA,16,m,1.5
1992,9,9,09/09/92,2200,19,m,1.5
1992,9,9,09/09/92,NA,17,m,1.5
1992,9,9,09/09/92,1400,17,f,1.5
1992,9,9,09/09/92,1700,18,m,1.5
1992,9,9,09/09/92,1900,20.5,m,1.5
1992,9,9,09/09/92,1800,20.3,m,1.5
1992,9,9,09/09/92,1280,12.1,m,1.5
1992,9,9,09/09/92,1100,11.5,m,1.5
1992,9,9,09/09/92,2100,16,f,1.5
1992,9,11,11/09/92,1600,14.5,m,1.5
1992,9,11,11/09/92,1000,12,m,1.5
1992,9,11,11/09/92,1700,15,f,1.5
1992,9,11,11/09/92,1700,16,m,1.5
1992,9,11,11/09/92,1400,17.5,f,1.5
1992,9,11,11/09/92,1530,21,f,1.5
1992,9,11,11/09/92,900,16.7,m,1.5
1992,9,11,11/09/92,2050,11.3,m,1.5
1992,9,11,11/09/92,2300,NA,m,1.5
1992,9,11,11/09/92,2300,14.5,m,1.5
1992,9,11,11/09/92,2000,18.2,m,1.5
