year,month,day,date,temp_mean_lugano,temp_mean_comprovasco,temp_mean_simano,temp_max_lugano,temp_min_lugano
1970,1,1,01/01/70,0.9,NA,NA,4.2,-0.7
1970,1,2,02/01/70,-1.6,NA,NA,2,-3.5
1970,1,3,03/01/70,0.3,NA,NA,2.5,-3.6
1970,1,4,04/01/70,0.3,NA,NA,1.4,-0.5
1970,1,5,05/01/70,1,NA,NA,1.8,0
1970,1,6,06/01/70,3.1,NA,NA,7.2,-0.2
1970,1,7,07/01/70,2.4,NA,NA,10,-2.3
1970,1,8,08/01/70,0.1,NA,NA,2.9,-3.5
1970,1,9,09/01/70,1.7,NA,NA,3.4,0
1970,1,10,10/01/70,0.4,NA,NA,1.9,0
1970,1,11,11/01/70,1.5,NA,NA,1.9,0.4
1970,1,12,12/01/70,2.6,NA,NA,5.4,0.5
1970,1,13,13/01/70,3.4,NA,NA,5,2.1
1970,1,14,14/01/70,4.1,NA,NA,6.8,2.8
1970,1,15,15/01/70,3.3,NA,NA,4.4,2.8
1970,1,16,16/01/70,7,NA,NA,10.8,2
1970,1,17,17/01/70,9.3,NA,NA,12.9,5.3
1970,1,18,18/01/70,3.7,NA,NA,9,0.7
1970,1,19,19/01/70,2,NA,NA,7.8,-0.1
1970,1,20,20/01/70,0.4,NA,NA,4,-1.3
1970,1,21,21/01/70,0.6,NA,NA,1.3,-0.8
1970,1,22,22/01/70,0.7,NA,NA,3.7,-0.3
1970,1,23,23/01/70,1.2,NA,NA,5.6,-2.8
1970,1,24,24/01/70,0.9,NA,NA,5.3,-1.4
1970,1,25,25/01/70,2.1,NA,NA,5.4,-2.6
1970,1,26,26/01/70,3.6,NA,NA,4.7,2.4
1970,1,27,27/01/70,3.3,NA,NA,4.9,2.9
1970,1,28,28/01/70,2.4,NA,NA,7,0.1
1970,1,29,29/01/70,3.6,NA,NA,7.2,0.3
1970,1,30,30/01/70,3.4,NA,NA,4.4,2.1
1970,1,31,31/01/70,6.3,NA,NA,11.7,2.3
1970,2,1,01/02/70,2.4,NA,NA,7.8,0.3
1970,2,2,02/02/70,0.7,NA,NA,3.8,-1.2
1970,2,3,03/02/70,5.8,NA,NA,11,-0.7
1970,2,4,04/02/70,2.8,NA,NA,10.2,1.8
1970,2,5,05/02/70,3.7,NA,NA,4.4,2.7
1970,2,6,06/02/70,2.6,NA,NA,9,0
1970,2,7,07/02/70,2.7,NA,NA,9.4,-0.9
1970,2,8,08/02/70,4.2,NA,NA,11,-0.8
1970,2,9,09/02/70,5.4,NA,NA,10.9,0.4
1970,2,10,10/02/70,6.6,NA,NA,12.5,3.2
1970,2,11,11/02/70,5.2,NA,NA,10,2.8
1970,2,12,12/02/70,3.2,NA,NA,6.7,0.1
1970,2,13,13/02/70,3.1,NA,NA,9,-0.1
1970,2,14,14/02/70,1.4,NA,NA,3.2,-0.2
1970,2,15,15/02/70,3.7,NA,NA,6.7,0.1
1970,2,16,16/02/70,2.3,NA,NA,6,0.8
1970,2,17,17/02/70,1.2,NA,NA,7.2,-3.2
1970,2,18,18/02/70,4.2,NA,NA,9,-1
1970,2,19,19/02/70,4.8,NA,NA,11.4,1.2
1970,2,20,20/02/70,3.5,NA,NA,8.7,-0.9
1970,2,21,21/02/70,5.3,NA,NA,9.7,2
1970,2,22,22/02/70,5.8,NA,NA,13.3,0.2
1970,2,23,23/02/70,8,NA,NA,16.2,1.7
1970,2,24,24/02/70,7.2,NA,NA,8.4,4.3
1970,2,25,25/02/70,7.2,NA,NA,13,2.6
1970,2,26,26/02/70,3.5,NA,NA,7.8,-0.2
1970,2,27,27/02/70,5.6,NA,NA,9.7,1.4
